APPLICATION_USER_ID	LAT	LNG	CREATED_AT	COUNTRY	MICRO_ZONE_ID
286467671	21.865390100000	-102.303278700000	2019-07-08 20:08:23.000000000	MX	248
226351451	20.705212800000	-103.309578400000	2019-09-30 18:19:24.000000000	MX	402
207107765	25.703990000000	-100.285144000000	2019-08-08 14:30:32.000000000	MX	381
279337653	20.638892000000	-103.383782000000	2020-01-04 16:10:27.000000000	MX	393
209470150	25.463237800000	-100.978150500000	2020-01-17 09:03:54.000000000	MX	220
267180094	25.717543800000	-100.263846300000	2019-08-12 00:59:35.000000000	MX	373
25809553	19.428398755994	-99.229440316558	2018-01-19 00:45:50.000000000	MX	122
282224595	20.660969600000	-103.308873300000	2019-09-22 13:57:38.000000000	MX	401
252566808	25.692570000000	-100.236410000000	2018-10-27 03:29:49.000000000	MX	387
272705189	19.340296000000	-99.214970000000	2018-11-12 09:01:23.000000000	MX	141
266574210	19.083508700000	-98.201442300000	2019-07-13 19:15:43.000000000	MX	411
256492378	25.760663380574	-100.264289528130	2019-07-10 12:55:28.000000000	MX	371
206940589	19.441139000000	-99.198823000000	2019-08-12 11:14:42.000000000	MX	129
261160420	19.359880359027	-99.197551198304	2018-04-17 14:02:28.000000000	MX	141
227131442	20.939532900000	-89.626692700000	2019-08-09 19:49:53.000000000	MX	197
206736033	19.421079000000	-99.153167000000	2019-07-26 20:25:33.000000000	MX	134
245900112	19.316588088459	-99.168109931052	2019-06-10 23:20:29.000000000	MX	145
297045627	19.408321000000	-99.179337000000	2019-08-04 21:17:18.000000000	MX	133
268711852	19.314890000000	-99.122221700000	2019-11-15 10:53:58.000000000	MX	202
206166098	20.732360500000	-103.408788100000	2019-07-29 19:53:45.000000000	MX	162
247260271	19.312356200000	-99.123598000000	2019-11-29 18:07:46.000000000	MX	202
246212977	25.739632000000	-100.269028000000	2019-06-30 23:49:31.000000000	MX	371
231665396	20.659864030536	-103.387027569120	2018-07-18 18:29:00.000000000	MX	159
257311023	20.671956000000	-103.416501000000	2019-08-18 17:38:12.000000000	MX	159
293911845	19.436076173903	-99.071908146143	2019-02-27 10:09:59.000000000	MX	
268640611	20.652748300000	-103.448483900000	2019-11-08 20:49:46.000000000	MX	160
295992003	19.305241700000	-99.084225300000	2019-06-14 17:45:18.000000000	MX	202
269270694	19.309970300000	-99.136840200000	2019-12-29 17:30:47.000000000	MX	146
282934241	19.498061126139	-99.168764390051	2018-11-27 13:18:48.000000000	MX	119
232928589	20.675157000000	-103.349512000000	2018-12-02 18:20:21.000000000	MX	158
245299278	25.762844000000	-100.439690100000	2019-07-18 16:26:38.000000000	MX	360
215922333	19.406379300000	-99.139720600000	2019-06-11 18:05:24.000000000	MX	132
232068118	19.412583100000	-99.180904200000	2019-03-22 11:56:22.000000000	MX	133
273058368	20.661327190216	-103.452199548480	2018-12-12 19:47:18.000000000	MX	160
243903915	25.397665170200	-100.999490059910	2020-01-04 19:35:19.000000000	MX	
295359074	20.707294400000	-103.388694200000	2019-07-07 17:49:19.000000000	MX	157
255353928	20.667759000000	-103.369490000000	2019-05-18 14:58:54.000000000	MX	395
252260450	19.440932154097	-99.150579012930	2018-09-23 19:11:50.000000000	MX	130
207376199	19.524418000000	-99.159562000000	2020-01-03 12:27:49.000000000	MX	870
206757152	19.055991000000	-98.297269700000	2019-07-22 18:23:03.000000000	MX	167
296085939	21.140965800000	-86.853377600000	2019-06-18 15:08:46.000000000	MX	229
297388386	19.379944436498	-99.177971072495	2019-08-22 13:24:46.000000000	MX	138
241351790	19.063671277281	-98.304960988462	2018-05-29 23:59:15.000000000	MX	167
288898929	25.558922000000	-103.434652000000	2019-11-29 17:17:07.000000000	MX	226
255187365	21.139982800000	-86.853072300000	2019-05-10 15:22:33.000000000	MX	229
298499044	19.429811600000	-99.251005100000	2019-10-28 14:26:55.000000000	MX	190
292248905	19.290604000000	-99.126325000000	2018-09-22 19:00:06.000000000	MX	146
207762178	21.111144900000	-101.653714500000	2019-09-08 19:07:22.000000000	MX	218
219325627	19.401924500000	-99.124496400000	2020-01-03 15:07:18.000000000	MX	140
219267398	19.421424500000	-99.142686800000	2019-12-29 15:01:24.000000000	MX	132
245897506	20.723490200000	-103.382768400000	2019-06-10 22:08:28.000000000	MX	166
21104542	19.433571773164	-99.187402725220	2016-08-26 08:43:01.000000000	MX	131
256406548	29.165411200000	-110.982839500000	2020-01-04 19:29:59.000000000	MX	443
249027947	25.762883000000	-100.424222000000	2019-12-09 20:49:05.000000000	MX	147
228070760	25.651465406034	-100.292036309840	2019-11-15 09:20:14.000000000	MX	385
267515870	20.940332600000	-89.625039900000	2019-08-29 21:08:32.000000000	MX	197
58123356	19.370745000000	-99.126061000000	2019-06-09 21:24:23.000000000	MX	140
259308577	20.630637600000	-100.469680400000	2020-01-02 16:07:31.000000000	MX	269
281691057	19.386488750123	-99.157912507653	2018-07-20 21:41:16.000000000	MX	136
28858856	20.567751086409	-100.364055298270	2018-07-23 08:23:04.000000000	MX	183
271537279	19.432266900000	-99.142112900000	2018-10-28 11:23:49.000000000	MX	139
227142984	29.083711111097	-110.941211096940	2019-08-10 14:23:05.000000000	MX	416
204442008	19.486067887385	-99.109886884689	2019-04-01 23:19:38.000000000	MX	121
236850691	19.333441600000	-99.171315300000	2019-07-26 22:08:30.000000000	MX	143
231831632	19.053483000000	-98.282608000000	2018-08-06 20:05:13.000000000	MX	167
255439626	21.041653000000	-89.621821000000	2019-05-22 20:32:45.000000000	MX	187
234884966	20.978621523627	-89.672433212399	2019-04-23 20:14:01.000000000	MX	238
